emerald_city_of_oz_01_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
emerald_city_of_oz_01_f000002|The The Emerald City of Oz by L Frank Baum. Perhaps I should admit on the title page that this book is By L Frank Baum and his correspondents,|The The Emerald City of Oz by L Frank Baum. Perhaps I should admit on the title page that this book is By L Frank Baum and his correspondents,
emerald_city_of_oz_01_f000003|for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself an author of fairy tales,|for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself an author of fairy tales,
emerald_city_of_oz_01_f000004|but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories.|but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories.
emerald_city_of_oz_01_f000005|These ideas are often clever. They are also logical and interesting.|These ideas are often clever. They are also logical and interesting.
emerald_city_of_oz_01_f000006|So I have used them whenever I could find an opportunity, and it is but just that I acknowledge my indebtedness to my little friends.|So I have used them whenever I could find an opportunity, and it is but just that I acknowledge my indebtedness to my little friends.
emerald_city_of_oz_01_f000007|My, what imaginations these children have developed! Sometimes I am fairly astounded by their daring and genius. There will be no lack of fairy-tale authors in the future, I am sure.|My, what imaginations these children have developed! Sometimes I am fairly astounded by their daring and genius. There will be no lack of fairy-tale authors in the future, I am sure.
emerald_city_of_oz_01_f000008|My readers have told me what to do with Dorothy, and Aunt Em and Uncle Henry, and I have obeyed their mandates. They have also given me a variety of subjects to write about in the future:|My readers have told me what to do with Dorothy, and Aunt Em and Uncle Henry, and I have obeyed their mandates. They have also given me a variety of subjects to write about in the future:
emerald_city_of_oz_01_f000009|enough, in fact, to keep me busy for some time.|enough, in fact, to keep me busy for some time.
emerald_city_of_oz_01_f000010|I am very proud of this alliance. Children love these stories because children have helped to create them. My readers know what they want and realize that I try to please them.|I am very proud of this alliance. Children love these stories because children have helped to create them. My readers know what they want and realize that I try to please them.
emerald_city_of_oz_01_f000011|The result is very satisfactory to the publishers, to me, and I am quite sure to the children.|The result is very satisfactory to the publishers, to me, and I am quite sure to the children.
emerald_city_of_oz_01_f000012|I hope, my dears, it will be a long time before we are obliged to dissolve partnership.|I hope, my dears, it will be a long time before we are obliged to dissolve partnership.
emerald_city_of_oz_01_f000013|L Frank BAUM. Coronado, 1910.|L Frank BAUM. Coronado, nineteen ten.
